Name,Designation,Department,Email,Profile_URL
Dr. Suchithra M,Associate Professor,,,https://www.srmist.edu.in/faculty/dr-m-suchithra/
Dr. Thenmozhi R,Associate Professor,,,https://www.srmist.edu.in/faculty/dr-r-thenmozhi/
Dr. Thilagavathy R,Associate Professor,,,https://www.srmist.edu.in/faculty/dr-r-thilagavathy-2/
Dr. Uma Maheswari K M,Associate Professor,,,https://www.srmist.edu.in/faculty/k-m-uma-maheswari/
Dr. Vidhya R,Associate Professor,,,https://www.srmist.edu.in/faculty/r-vidhya/
Dr. Vijayakumaran C,Associate Professor,,,https://www.srmist.edu.in/faculty/dr-c-vijayakumaran/
Dr. Vinod D,Associate Professor,,,https://www.srmist.edu.in/faculty/dr-d-vinod/
Dr. Abhijit Saha,Research Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-abhijit-saha-2/
Dr. Abirami G,Assistant Professor,,,https://www.srmist.edu.in/faculty/g-abirami-2/
Dr. Ajanthaa Lakkshmanan,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-ajanthaa-lakkshmanan/
Dr. Akella S Narasimha Raju,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-akella-s-narasimha-raju/
Dr. Alice K,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-k-alice/
Dr. Anbarasi A,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-a-anbarasi/
Dr. Anbazhagu U V,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-u-v-anbazhagu/
Dr. Angayarkanni V,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-angayarkanni-v/
Dr. Anita M,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-anita-m/
Dr. Anita R,Assistant Professor,,,https://www.srmist.edu.in/faculty/r-anita/
Dr. Aqib,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-aqib/
Dr. Arul Prakash M,Assistant Professor,,,https://www.srmist.edu.in/faculty/m-arul-prakash/
Dr. Arulalan V,Assistant Professor,,,https://www.srmist.edu.in/faculty/mr-arulalan-v/
Dr. Arulmurugan A,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-arulmurugan-a/
Dr. Arun V,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-arun-v/
Dr. Ashokkumar C,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-c-ashok-kumar/
Dr. Ashwini S,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-ashwini-s/
Dr. Aswathy K Cherian,Assistant Professor,,,https://www.srmist.edu.in/faculty/dr-aswathy-k-cherian/
Dr. Aswini Krishnan,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-aswini-krishnan/
