Name,Designation,Department,Email,Profile_URL
Mrs. Deluxni N,Assistant Professor,,,https://www.srmist.edu.in/faculty/deluxni-n/
Mrs. Gokila K,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-gokila-k/
Mrs. Jayanthi V,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-jayanthi-v/
Mrs. Jeeva K,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-jeeva-k/
Mrs. Kavipriya J,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-kavipriya-j/
Mrs. Leela Ranganayagi K,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-leela-ranganayagi-k/
Mrs. Ramya M,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-ramya-m/
Mrs. Rekha G,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-rekha-g/
Mrs. Saranya R,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-saranya-r/
Mrs. Selvameena P,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-selvameena-p/
Mrs. Sivakamasundari P,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-sivakamasundari-p/
Mrs. Sony Priya S,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-sony-priya-s/
Mrs. Soshya Joshi,Assistant Professor,,,https://www.srmist.edu.in/faculty/mrs-soshya-joshi/
Mrs. Sujatha V,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-sujatha-v/
Mrs. Sumathy V,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-sumathy-v/
Mrs. Vathana D,Assistant Professor,,,https://www.srmist.edu.in/faculty/d-vathana/
Mrs. Vidhyalakshmi A M,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-vidhyalakshmi-a-m/
Ms. Harini K,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-harini-k/
Ms. Jaya Poornima V,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-jaya-poornima-v/
Ms. Lopamudra Mazumder,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-lopamudra-mazumder/
Ms. Preethi C,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-preethi-c/
Ms. Priya Lakshmi P,Assistant Professor Jr G,,,https://www.srmist.edu.in/faculty/ms-priya-lakshmi-p/
Ms. Shanmathi S,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-shanmathi-s/
Ms. Shivani Singh,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-shivani-singh/
Ms. Vinothini R,Assistant Professor,,,https://www.srmist.edu.in/faculty/ms-vinothini-r/
